id;name
1;Автоматизация тестирования пользовательского интерфейса веб приложения для Единой системы идентификации и аутентификации
2;Разработка веб-приложения для моделирования систем нечеткой логики  
3;Разработка системы сбора статистики и составления отчетности по госзаданию
4;Автоматизация решения задачи сетевого планирования информационной поддержки реализации проекта
5;Имитационное моделирование бизнес-процесса производства оси колёсной пары подвижного состава железных дорог
6;Информационные технологии поддержки принятия решения на ЭТП
7;Разработка набора тестов и оценочной функции для контроля безопасности REST API
8;Управление складскими запасами по временной модели
9;Оптимизация процесса доставки продукции из единой точки распределения
10;Повышение эффективности работы отделов продаж заказчиков
